optimizer,learning_rate,start_x,start_y,function,final_point,iterations,runtime,converged
gd,0.001,-2.0,2.0,convex,"[-0.03648485044750143, 0.03648485044750143]",1999,0.010998725891113281,True
gd,0.01,-2.0,2.0,convex,"[-0.0035157482001922508, 0.0035157482001922508]",314,0.002000093460083008,True
gd,0.1,-2.0,2.0,convex,"[-0.0010141204801825839, 0.0010141204801825839]",34,0.0,True
gd,1.0,-2.0,2.0,convex,"[-2, 2]",0,0.0,True
newton,0.1,-2.0,2.0,convex,"[0.0, 0.0]",1,0.0009987354278564453,True
newton,0.5,-2.0,2.0,convex,"[0.0, 0.0]",1,0.0,True
newton,2.0,-2.0,2.0,convex,"[0.0, 0.0]",1,0.0,True
adagrad,0.01,-2.0,2.0,convex,"[-1.1966933056414664, 1.1966933056414664]",1999,0.017000913619995117,True
adagrad,0.1,-2.0,2.0,convex,"[-0.005300679939909258, 0.005300679939909258]",622,0.004998683929443359,True
adagrad,1.0,-2.0,2.0,convex,"[-0.0006633684703775209, 0.0006633684703775209]",14,0.0,True
adagrad,5.0,-2.0,2.0,convex,"[0.0003507378074109112, -0.0003507378074109112]",9,0.0,True
adam,0.0001,-2.0,2.0,convex,"[-1.8039476290655259, 1.8039476290655259]",1999,0.025590896606445312,True
adam,0.001,-2.0,2.0,convex,"[-0.4914573368246841, 0.4914573368246841]",1999,0.025999784469604492,True
adam,0.01,-2.0,2.0,convex,"[-0.003763455719568021, 0.003763455719568021]",564,0.006999015808105469,True
adam,0.1,-2.0,2.0,convex,"[0.0007242695046102015, -0.0007242695046102015]",106,0.0009982585906982422,True
adam,1.0,-2.0,2.0,convex,"[0.0007909596987727753, -0.0007909596987727753]",125,0.0019998550415039062,True
gd,0.001,0.5,-1.5,convex,"[0.009121212611875358, -0.027363637835626137]",1999,0.01000070571899414,True
gd,0.01,0.5,-1.5,convex,"[0.0015790707055012624, -0.0047372121165037894]",285,0.0010004043579101562,True
gd,0.1,0.5,-1.5,convex,"[0.0004951760157141523, -0.0014855280471424569]",31,0.0,True
gd,1.0,0.5,-1.5,convex,"[0.5, -1.5]",0,0.0,True
newton,0.1,0.5,-1.5,convex,"[0.0, 0.0]",1,0.00099945068359375,True
newton,0.5,0.5,-1.5,convex,"[0.0, 0.0]",1,0.0,True
newton,2.0,0.5,-1.5,convex,"[0.0, 0.0]",1,0.0,True
adagrad,0.01,0.5,-1.5,convex,"[0.015032783978936606, -0.7270510561385277]",1999,0.017112016677856445,True
adagrad,0.1,0.5,-1.5,convex,"[1.7244454601773345e-17, -0.005751018105249857]",339,0.0019996166229248047,True
adagrad,1.0,0.5,-1.5,convex,"[0.0003867724958708178, -0.0004894849835016851]",8,0.0,True
adagrad,5.0,0.5,-1.5,convex,"[4.2560091887529075e-07, -0.00033042995847954587]",8,0.0,True
adam,0.0001,0.5,-1.5,convex,"[0.3171554623968346, -1.305313186958093]",1999,0.02500128746032715,True
adam,0.001,0.5,-1.5,convex,"[3.263543732610043e-06, -0.18345137364918063]",1999,0.026000022888183594,True
adam,0.01,0.5,-1.5,convex,"[-2.4235402714662177e-10, -0.00462496664961782]",392,0.00500035285949707,True
adam,0.1,0.5,-1.5,convex,"[0.0005916915408418278, 0.0020873084627781734]",86,0.00099945068359375,True
adam,1.0,0.5,-1.5,convex,"[0.0006935839614506799, -0.001852538807273841]",106,0.002000093460083008,True
gd,0.001,3.0,3.0,convex,"[0.054727275671252275, 0.054727275671252275]",1999,0.010003805160522461,True
gd,0.01,3.0,3.0,convex,"[0.003520712287697961, 0.003520712287697961]",334,0.0019998550415039062,True
gd,0.1,3.0,3.0,convex,"[0.0009735556609752807, 0.0009735556609752807]",36,0.0,True
gd,1.0,3.0,3.0,convex,"[3, 3]",0,0.0,True
newton,0.1,3.0,3.0,convex,"[0.0, 0.0]",1,0.0,True
newton,0.5,3.0,3.0,convex,"[0.0, 0.0]",1,0.001001119613647461,True
newton,2.0,3.0,3.0,convex,"[0.0, 0.0]",1,0.0,True
adagrad,0.01,3.0,3.0,convex,"[2.168791494790997, 2.168791494790997]",1999,0.025998353958129883,True
adagrad,0.1,3.0,3.0,convex,"[0.007835826387898584, 0.007835826387898584]",1347,0.012033700942993164,True
adagrad,1.0,3.0,3.0,convex,"[0.0009102631803900418, 0.0009102631803900418]",29,0.0009953975677490234,True
adagrad,5.0,3.0,3.0,convex,"[-0.0005210554876726721, -0.0005210554876726721]",9,0.0,True
adam,0.0001,3.0,3.0,convex,"[2.8026070828093883, 2.8026070828093883]",1999,0.024970531463623047,True
adam,0.001,3.0,3.0,convex,"[1.3059283017346621, 1.3059283017346621]",1999,0.025000333786010742,True
adam,0.01,3.0,3.0,convex,"[0.00455030492930147, 0.00455030492930147]",874,0.01100015640258789,True
adam,0.1,3.0,3.0,convex,"[0.00031514010746107877, 0.00031514010746107877]",115,0.001001119613647461,True
adam,1.0,3.0,3.0,convex,"[0.0004849713423733602, 0.0004849713423733602]",130,0.0020742416381835938,True
gd,0.001,-1.0,1.0,rosenbrock,"[0.7279442915224894, 0.5286317095602325]",1999,0.03551745414733887,True
gd,0.01,-1.0,1.0,rosenbrock,"[nan, nan]",1999,0.014998912811279297,True
gd,0.1,-1.0,1.0,rosenbrock,"[nan, nan]",1999,0.014999151229858398,True
gd,1.0,-1.0,1.0,rosenbrock,"[1170752511, 1075313153]",1999,0.031003236770629883,True
newton,0.1,-1.0,1.0,rosenbrock,"[0.9999999999999214, 0.9999999999998432]",2,0.0,True
newton,0.5,-1.0,1.0,rosenbrock,"[0.9999999999999214, 0.9999999999998432]",2,0.0,True
newton,2.0,-1.0,1.0,rosenbrock,"[0.9999999999999214, 0.9999999999998432]",2,0.0,True
adagrad,0.01,-1.0,1.0,rosenbrock,"[-0.2719809267934197, 0.08466014303872664]",1999,0.023999929428100586,True
adagrad,0.1,-1.0,1.0,rosenbrock,"[0.8469564642679557, 0.7167839043811991]",1999,0.0240020751953125,True
adagrad,1.0,-1.0,1.0,rosenbrock,"[0.8887697634541024, 0.8105349793386892]",1999,0.023998260498046875,True
adagrad,5.0,-1.0,1.0,rosenbrock,"[-0.854959850419337, 0.7339926843790423]",1999,0.024999618530273438,True
adam,0.0001,-1.0,1.0,rosenbrock,"[-0.8727240491312145, 0.7709475843929643]",1999,0.03395724296569824,True
adam,0.001,-1.0,1.0,rosenbrock,"[0.6500878605722145, 0.42064481111467383]",1999,0.030998945236206055,True
adam,0.01,-1.0,1.0,rosenbrock,"[0.9921905058735032, 0.9844122236917003]",797,0.011999130249023438,True
adam,0.1,-1.0,1.0,rosenbrock,"[0.9937942750057569, 0.9876057867111705]",543,0.007999420166015625,True
adam,1.0,-1.0,1.0,rosenbrock,"[0.7503054272131716, 0.5505363576396424]",1999,0.031012773513793945,True
gd,0.001,0.0,0.0,rosenbrock,"[0.8222049453842208, 0.6752310154432241]",1999,0.018001079559326172,True
gd,0.01,0.0,0.0,rosenbrock,"[nan, nan]",1999,0.014998435974121094,True
gd,0.1,0.0,0.0,rosenbrock,"[nan, nan]",1999,0.05299973487854004,True
